Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences
mixin.RelExpr,2,Class,mixin,RelExpr,,SYNTAX,TRUE,FALSE,,TRUE,FALSE,
mixin.RelationalExpression,2,Class,mixin,RelationalExpression,,SYNTAX,TRUE,TRUE,,FALSE,FALSE,mixin.RelationalExpression calls fprivate mixin.InstanceOfExpression THEN it also belongs to SYNTAX   
mixin.RelExpr.ARG_LENGTH,3,Field,mixin,RelExpr,ARG_LENGTH,SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.RelExpr.ARG_LENGTH is a child of mixin.RelExpr THEN it also is fprivate of SYNTAX   
mixin.RelExpr.TOK_LENGTH,3,Field,mixin,RelExpr,TOK_LENGTH,SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.RelExpr.TOK_LENGTH is a child of mixin.RelExpr THEN it also is fprivate of SYNTAX   
mixin.RelExpr.getMoreRelExpr(),4,Method,mixin,RelExpr,getMoreRelExpr(),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.RelExpr.getMoreRelExpr() is a child of mixin.RelExpr THEN it also is fprivate of SYNTAX   
mixin.MoreRelExpr,2,Class,mixin,MoreRelExpr,,SYNTAX,TRUE,FALSE,,TRUE,FALSE,
mixin.RelExpr.getShiftExpression(),4,Method,mixin,RelExpr,getShiftExpression(),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.RelExpr.getShiftExpression() is a child of mixin.RelExpr THEN it also is fprivate of SYNTAX   
mixin.ShiftExpression,2,Class,mixin,ShiftExpression,,SYNTAX,TRUE,TRUE,,FALSE,FALSE,mixin.ShiftExpression calls fprivate mixin.RelationalExpression THEN it also belongs to SYNTAX   
mixin.RelExpr.printorder(),4,Method,mixin,RelExpr,printorder(),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.RelExpr.printorder() is a child of mixin.RelExpr THEN it also is fprivate of SYNTAX   
mixin.RelExpr.setParms(ShiftExpression arg0; MoreRelExpr arg1),4,Method,mixin,RelExpr,setParms(ShiftExpression arg0; MoreRelExpr arg1),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.RelExpr.setParms(ShiftExpression arg0; MoreRelExpr arg1) calls fprivate mixin.RelExpr.ARG_LENGTH THEN it also belongs to SYNTAX   
mixin.NInterDecl,2,Class,mixin,NInterDecl,,SYNTAX,TRUE,FALSE,,TRUE,FALSE,
