from,to
bali2jak.JavaCharStream.readChar(),bali2jak.JavaCharStream.hexval(char c)
bali2jak.JavaCharStream.getColumn(),bali2jak.JavaCharStream
bali2jak.JavaCharStream.getColumn(),bali2jak.JavaCharStream.bufcolumn
bali2jak.JavaCharStream.getColumn(),bali2jak.JavaCharStream.bufpos
bali2jak.JavaCharStream.getLine(),bali2jak.JavaCharStream
bali2jak.JavaCharStream.getLine(),bali2jak.JavaCharStream.bufline
bali2jak.JavaCharStream.getLine(),bali2jak.JavaCharStream.bufpos
bali2jak.JavaCharStream.getEndColumn(),bali2jak.JavaCharStream
bali2jak.JavaCharStream.getEndColumn(),bali2jak.JavaCharStream.bufcolumn
bali2jak.JavaCharStream.getEndColumn(),bali2jak.JavaCharStream.bufpos
bali2jak.JavaCharStream.getEndLine(),bali2jak.JavaCharStream
bali2jak.JavaCharStream.getEndLine(),bali2jak.JavaCharStream.bufline
bali2jak.JavaCharStream.getEndLine(),bali2jak.JavaCharStream.bufpos
bali2jak.JavaCharStream.getBeginColumn(),bali2jak.JavaCharStream
bali2jak.JavaCharStream.getBeginColumn(),bali2jak.JavaCharStream.bufcolumn
bali2jak.JavaCharStream.getBeginColumn(),bali2jak.JavaCharStream.tokenBegin
bali2jak.JavaCharStream.getBeginLine(),bali2jak.JavaCharStream
bali2jak.JavaCharStream.getBeginLine(),bali2jak.JavaCharStream.bufline
bali2jak.JavaCharStream.getBeginLine(),bali2jak.JavaCharStream.tokenBegin
bali2jak.JavaCharStream.backup(int amount),bali2jak.JavaCharStream
bali2jak.JavaCharStream.backup(int amount),bali2jak.JavaCharStream.inBuf
bali2jak.JavaCharStream.backup(int amount),bali2jak.JavaCharStream.bufpos
bali2jak.JavaCharStream.backup(int amount),bali2jak.JavaCharStream.bufsize
bali2jak.JavaCharStream.JavaCharStream(java.io.Reader dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream
bali2jak.JavaCharStream.JavaCharStream(java.io.Reader dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream.inputStream
bali2jak.JavaCharStream.JavaCharStream(java.io.Reader dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream.line
bali2jak.JavaCharStream.JavaCharStream(java.io.Reader dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream.column
bali2jak.JavaCharStream.JavaCharStream(java.io.Reader dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream.available
bali2jak.JavaCharStream.JavaCharStream(java.io.Reader dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream.bufsize
bali2jak.JavaCharStream.JavaCharStream(java.io.Reader dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream.buffer
bali2jak.JavaCharStream.JavaCharStream(java.io.Reader dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream.bufline
bali2jak.JavaCharStream.JavaCharStream(java.io.Reader dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream.bufcolumn
bali2jak.JavaCharStream.JavaCharStream(java.io.Reader dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream.nextCharBuf
bali2jak.JavaCharStream.JavaCharStream(java.io.Reader dstream; int startline; int startcolumn),bali2jak.JavaCharStream
bali2jak.JavaCharStream.JavaCharStream(java.io.Reader dstream),bali2jak.JavaCharStream
bali2jak.JavaCharStream.ReInit(java.io.Reader dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream
bali2jak.JavaCharStream.ReInit(java.io.Reader dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream.inputStream
bali2jak.JavaCharStream.ReInit(java.io.Reader dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream.line
bali2jak.JavaCharStream.ReInit(java.io.Reader dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream.column
bali2jak.JavaCharStream.ReInit(java.io.Reader dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream.buffer
bali2jak.JavaCharStream.ReInit(java.io.Reader dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream.available
bali2jak.JavaCharStream.ReInit(java.io.Reader dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream.bufsize
bali2jak.JavaCharStream.ReInit(java.io.Reader dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream.bufline
bali2jak.JavaCharStream.ReInit(java.io.Reader dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream.bufcolumn
bali2jak.JavaCharStream.ReInit(java.io.Reader dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream.nextCharBuf
bali2jak.JavaCharStream.ReInit(java.io.Reader dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream.prevCharIsLF
bali2jak.JavaCharStream.ReInit(java.io.Reader dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream.prevCharIsCR
bali2jak.JavaCharStream.ReInit(java.io.Reader dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream.tokenBegin
bali2jak.JavaCharStream.ReInit(java.io.Reader dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream.inBuf
bali2jak.JavaCharStream.ReInit(java.io.Reader dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream.maxNextCharInd
bali2jak.JavaCharStream.ReInit(java.io.Reader dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream.nextCharInd
bali2jak.JavaCharStream.ReInit(java.io.Reader dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream.bufpos
bali2jak.JavaCharStream.ReInit(java.io.Reader dstream; int startline; int startcolumn),bali2jak.JavaCharStream
bali2jak.JavaCharStream.ReInit(java.io.Reader dstream; int startline; int startcolumn),bali2jak.JavaCharStream.ReInit(java.io.Reader dstream; int startline; int startcolumn; int buffersize)
bali2jak.JavaCharStream.ReInit(java.io.Reader dstream),bali2jak.JavaCharStream
bali2jak.JavaCharStream.ReInit(java.io.Reader dstream),bali2jak.JavaCharStream.ReInit(java.io.Reader dstream; int startline; int startcolumn; int buffersize)
bali2jak.JavaCharStream.JavaCharStream(java.io.InputStream dstream; String encoding; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream
bali2jak.JavaCharStream.JavaCharStream(java.io.InputStream dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream
bali2jak.JavaCharStream.JavaCharStream(java.io.InputStream dstream; String encoding; int startline; int startcolumn),bali2jak.JavaCharStream
bali2jak.JavaCharStream.JavaCharStream(java.io.InputStream dstream; int startline; int startcolumn),bali2jak.JavaCharStream
bali2jak.JavaCharStream.JavaCharStream(java.io.InputStream dstream; String encoding),bali2jak.JavaCharStream
bali2jak.JavaCharStream.JavaCharStream(java.io.InputStream dstream),bali2jak.JavaCharStream
bali2jak.JavaCharStream.ReInit(java.io.InputStream dstream; String encoding; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream
bali2jak.JavaCharStream.ReInit(java.io.InputStream dstream; String encoding; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream.ReInit(java.io.Reader dstream; int startline; int startcolumn; int buffersize)
bali2jak.JavaCharStream.ReInit(java.io.InputStream dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream
bali2jak.JavaCharStream.ReInit(java.io.InputStream dstream; int startline; int startcolumn; int buffersize),bali2jak.JavaCharStream.ReInit(java.io.Reader dstream; int startline; int startcolumn; int buffersize)
bali2jak.JavaCharStream.ReInit(java.io.InputStream dstream; String encoding; int startline; int startcolumn),bali2jak.JavaCharStream
bali2jak.JavaCharStream.ReInit(java.io.InputStream dstream; String encoding; int startline; int startcolumn),bali2jak.JavaCharStream.ReInit(java.io.InputStream dstream; String encoding; int startline; int startcolumn; int buffersize)
bali2jak.JavaCharStream.ReInit(java.io.InputStream dstream; int startline; int startcolumn),bali2jak.JavaCharStream
bali2jak.JavaCharStream.ReInit(java.io.InputStream dstream; int startline; int startcolumn),bali2jak.JavaCharStream.ReInit(java.io.InputStream dstream; int startline; int startcolumn; int buffersize)
bali2jak.JavaCharStream.ReInit(java.io.InputStream dstream; String encoding),bali2jak.JavaCharStream
bali2jak.JavaCharStream.ReInit(java.io.InputStream dstream; String encoding),bali2jak.JavaCharStream.ReInit(java.io.InputStream dstream; String encoding; int startline; int startcolumn; int buffersize)
bali2jak.JavaCharStream.ReInit(java.io.InputStream dstream),bali2jak.JavaCharStream
bali2jak.JavaCharStream.ReInit(java.io.InputStream dstream),bali2jak.JavaCharStream.ReInit(java.io.InputStream dstream; int startline; int startcolumn; int buffersize)
bali2jak.JavaCharStream.GetImage(),bali2jak.JavaCharStream
bali2jak.JavaCharStream.GetImage(),bali2jak.JavaCharStream.bufpos
bali2jak.JavaCharStream.GetImage(),bali2jak.JavaCharStream.tokenBegin
bali2jak.JavaCharStream.GetImage(),bali2jak.JavaCharStream.buffer
bali2jak.JavaCharStream.GetImage(),bali2jak.JavaCharStream.bufsize
bali2jak.JavaCharStream.GetSuffix(int len),bali2jak.JavaCharStream
bali2jak.JavaCharStream.GetSuffix(int len),bali2jak.JavaCharStream.bufpos
bali2jak.JavaCharStream.GetSuffix(int len),bali2jak.JavaCharStream.buffer
bali2jak.JavaCharStream.GetSuffix(int len),bali2jak.JavaCharStream.bufsize
bali2jak.JavaCharStream.Done(),bali2jak.JavaCharStream
bali2jak.JavaCharStream.Done(),bali2jak.JavaCharStream.nextCharBuf
bali2jak.JavaCharStream.Done(),bali2jak.JavaCharStream.buffer
bali2jak.JavaCharStream.Done(),bali2jak.JavaCharStream.bufline
bali2jak.JavaCharStream.Done(),bali2jak.JavaCharStream.bufcolumn
bali2jak.JavaCharStream.adjustBeginLineColumn(int newLine; int newCol),bali2jak.JavaCharStream
bali2jak.JavaCharStream.adjustBeginLineColumn(int newLine; int newCol),bali2jak.JavaCharStream.tokenBegin
bali2jak.JavaCharStream.adjustBeginLineColumn(int newLine; int newCol),bali2jak.JavaCharStream.bufpos
bali2jak.JavaCharStream.adjustBeginLineColumn(int newLine; int newCol),bali2jak.JavaCharStream.inBuf
bali2jak.JavaCharStream.adjustBeginLineColumn(int newLine; int newCol),bali2jak.JavaCharStream.bufsize
bali2jak.JavaCharStream.adjustBeginLineColumn(int newLine; int newCol),bali2jak.JavaCharStream.bufline
bali2jak.JavaCharStream.adjustBeginLineColumn(int newLine; int newCol),bali2jak.JavaCharStream.bufcolumn
bali2jak.JavaCharStream.adjustBeginLineColumn(int newLine; int newCol),bali2jak.JavaCharStream.line
bali2jak.JavaCharStream.adjustBeginLineColumn(int newLine; int newCol),bali2jak.JavaCharStream.column
