Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences
mixin.AST_ArrayInit,2,Class,mixin,AST_ArrayInit,,syntax,FALSE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.GeOp,2,Class,mixin,GeOp,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.RelExprChoices,2,Class,mixin,RelExprChoices,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.InterfaceMemberDeclarationsElem,2,Class,mixin,InterfaceMemberDeclarationsElem,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.InterfaceMemberDeclaration,2,Class,mixin,InterfaceMemberDeclaration,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.StmExprList,2,Class,mixin,StmExprList,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.ForUpdate,2,Class,mixin,ForUpdate,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.StatementExpressionList,2,Class,mixin,StatementExpressionList,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.AST_ImportsC,2,Class,mixin,AST_ImportsC,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.AST_Imports,2,Class,mixin,AST_Imports,,syntax,FALSE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.ExclusiveOrExpression,2,Class,mixin,ExclusiveOrExpression,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.InclusiveOrExpression,2,Class,mixin,InclusiveOrExpression,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.SyncStmt,2,Class,mixin,SyncStmt,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.SynchronizedStatement,2,Class,mixin,SynchronizedStatement,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.AspectStm,2,Class,mixin,AspectStm,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
