Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences,User_comment,Member_modifier
mixin.ComposeAntTask.setFailonerror(boolean failOnError),4,Method,mixin,ComposeAntTask,setFailonerror(boolean failOnError),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.ComposeAntTask.failOnError,3,Field,mixin,ComposeAntTask,failOnError,,FALSE,FALSE,,TRUE,FALSE,,,private
mixin.ComposeAntTask.setOutput(File outputFile),4,Method,mixin,ComposeAntTask,setOutput(File outputFile),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.ComposeAntTask.setTarget(File outputFile),4,Method,mixin,ComposeAntTask,setTarget(File outputFile),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.JTSParseTree,2,Class,mixin,JTSParseTree,,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.AstNode.errorCount(),4,Method,mixin,AstNode,errorCount(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.JTSParseTree.compose(JTSParseTree t),4,Method,mixin,JTSParseTree,compose(JTSParseTree t),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.JTSParseTree.setAspectName(String pname),4,Method,mixin,JTSParseTree,setAspectName(String pname),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.JTSParseTree.print2file(File f),4,Method,mixin,JTSParseTree,print2file(File f),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.NIDecl,2,Class,mixin,NIDecl,,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.InterfaceMemberDeclaration,2,Class,mixin,InterfaceMemberDeclaration,,,FALSE,FALSE,,FALSE,FALSE,,,public
mixin.NIDecl.ARG_LENGTH,3,Field,mixin,NIDecl,ARG_LENGTH,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.NIDecl.TOK_LENGTH,3,Field,mixin,NIDecl,TOK_LENGTH,,FALSE,FALSE,,TRUE,FALSE,,,public
