Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences,User_comment,Member_modifier,Method_Signature,Earliest_bound,Latest_bound,CodeAnnotation,LOC,FWBelongLevel,NeedsLocalConstructor
streams.ImageStreamGang.sMAX_THREADS,3,Field,streams,ImageStreamGang,sMAX_THREADS,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,private final ,,FRAMEWORK,PLUGIN,null,4,1,false
streams.ImageStreamGang.ImageStreamGang(Filter[] filters; Iterator<List<URL>> urlListIterator),5,Constructor,streams,ImageStreamGang,ImageStreamGang(Filter[] filters; Iterator<List<URL>> urlListIterator),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,ImageStreamGang(Filter[]; Iterator<List<URL>>),FRAMEWORK,PLUGIN,null,11,1,false
streams.ImageStreamGang.processStream(),4,Method,streams,ImageStreamGang,processStream(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected abstract ,processStream(),FRAMEWORK,PLUGIN,null,5,1,false
streams.ImageStreamGang.initiateStream(),4,Method,streams,ImageStreamGang,initiateStream(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,streams.ImageStreamGang.initiateStream(); BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   ,,protected ,initiateStream(),FRAMEWORK,PLUGIN,@Override,27,1,false
streams.ImageStreamGang.startTiming(),4,Method,streams,ImageStreamGang,startTiming(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,startTiming(),FRAMEWORK,PLUGIN,null,7,1,false
streams.ImageStreamGang.stopTiming(),4,Method,streams,ImageStreamGang,stopTiming(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,stopTiming(),FRAMEWORK,PLUGIN,null,6,1,false
streams.ImageStreamGang.awaitTasksDone(),4,Method,streams,ImageStreamGang,awaitTasksDone(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,awaitTasksDone(),FRAMEWORK,PLUGIN,@Override,39,1,false
streams.ImageStreamGang.getNextInput(),4,Method,streams,ImageStreamGang,getNextInput(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,streams.ImageStreamGang.getNextInput(); BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   ,,protected ,getNextInput(),FRAMEWORK,PLUGIN,@Override,19,1,false
streams.ImageStreamGang.downloadImage(URL url),4,Method,streams,ImageStreamGang,downloadImage(URL url),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected static ,downloadImage(URL),FRAMEWORK,PLUGIN,null,8,1,false
streams.ImageStreamGang.urlCached(URL url; String filterName),4,Method,streams,ImageStreamGang,urlCached(URL url; String filterName),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,streams.ImageStreamGang.urlCached(URL url; String filterName); BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   ,,protected static ,urlCached(URL; String),FRAMEWORK,PLUGIN,null,14,1,false
streams.ImageStreamGang.mStartTime,3,Field,streams,ImageStreamGang,mStartTime,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,streams.ImageStreamGang.mStartTime; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   streams.ImageStreamGang.mStartTime; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   ,,private ,,FRAMEWORK,PLUGIN,null,4,1,false
streams.ImageStreamGang.mExecutionTimes,3,Field,streams,ImageStreamGang,mExecutionTimes,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,streams.ImageStreamGang.mExecutionTimes; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   streams.ImageStreamGang.mExecutionTimes; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   ,,private ,,FRAMEWORK,PLUGIN,null,4,1,false
streams.ImageStreamGang.executionTimes(),4,Method,streams,ImageStreamGang,executionTimes(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,executionTimes(),FRAMEWORK,PLUGIN,null,6,1,false
streams.ImageStreamGangTest,2,Class,streams,ImageStreamGangTest,,PLUGIN,TRUE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,263,2,false
streams.ImageStreamGangTest.TestsToRun,2,Class,streams.ImageStreamGangTest,TestsToRun,,PLUGIN,TRUE,FALSE,,TRUE,FALSE,,,final static ,,FRAMEWORK,PLUGIN,null,9,2,false
streams.ImageStreamGangTest.TestsToRun.SEQUENTIAL_STREAM,3,Field,streams.ImageStreamGangTest,TestsToRun,SEQUENTIAL_STREAM,PLUGIN,TRUE,TRUE,,TRUE,FALSE,streams.ImageStreamGangTest.TestsToRun.SEQUENTIAL_STREAM; BttF says it's a child of streams.ImageStreamGangTest.TestsToRun THEN it also is fprivate of PLUGIN   streams.ImageStreamGangTest.TestsToRun.SEQUENTIAL_STREAM; BttF says it's a member of an Enum streams.ImageStreamGangTest.TestsToRun THEN it also has to belong to PLUGIN   ,,public final static ,,PLUGIN,PLUGIN,null,1,2,false
streams.ImageStreamGangTest.TestsToRun.PARALLEL_STREAM,3,Field,streams.ImageStreamGangTest,TestsToRun,PARALLEL_STREAM,PLUGIN,TRUE,TRUE,,TRUE,FALSE,streams.ImageStreamGangTest.TestsToRun.PARALLEL_STREAM; BttF says it's a child of streams.ImageStreamGangTest.TestsToRun THEN it also is fprivate of PLUGIN   streams.ImageStreamGangTest.TestsToRun.PARALLEL_STREAM; BttF says it's a member of an Enum streams.ImageStreamGangTest.TestsToRun THEN it also has to belong to PLUGIN   ,,public final static ,,PLUGIN,PLUGIN,null,1,2,false
streams.ImageStreamGangTest.TestsToRun.COMPLETABLE_FUTURES_1,3,Field,streams.ImageStreamGangTest,TestsToRun,COMPLETABLE_FUTURES_1,PLUGIN,TRUE,TRUE,,TRUE,FALSE,streams.ImageStreamGangTest.TestsToRun.COMPLETABLE_FUTURES_1; BttF says it's a child of streams.ImageStreamGangTest.TestsToRun THEN it also is fprivate of PLUGIN   streams.ImageStreamGangTest.TestsToRun.COMPLETABLE_FUTURES_1; BttF says it's a member of an Enum streams.ImageStreamGangTest.TestsToRun THEN it also has to belong to PLUGIN   ,,public final static ,,PLUGIN,PLUGIN,null,1,2,false
streams.ImageStreamGangTest.TestsToRun.COMPLETABLE_FUTURES_2,3,Field,streams.ImageStreamGangTest,TestsToRun,COMPLETABLE_FUTURES_2,PLUGIN,TRUE,TRUE,,TRUE,FALSE,streams.ImageStreamGangTest.TestsToRun.COMPLETABLE_FUTURES_2; BttF says it's a child of streams.ImageStreamGangTest.TestsToRun THEN it also is fprivate of PLUGIN   streams.ImageStreamGangTest.TestsToRun.COMPLETABLE_FUTURES_2; BttF says it's a member of an Enum streams.ImageStreamGangTest.TestsToRun THEN it also has to belong to PLUGIN   ,,public final static ,,PLUGIN,PLUGIN,null,1,2,false
streams.ImageStreamGangTest.mFilters,3,Field,streams,ImageStreamGangTest,mFilters,PLUGIN,TRUE,TRUE,,TRUE,FALSE,streams.ImageStreamGangTest.mFilters; BttF says it's a child of streams.ImageStreamGangTest THEN it also is fprivate of PLUGIN   ,,private final static ,,PLUGIN,PLUGIN,null,7,2,false
streams.ImageStreamGangTest.mResultsMap,3,Field,streams,ImageStreamGangTest,mResultsMap,PLUGIN,TRUE,TRUE,,TRUE,FALSE,streams.ImageStreamGangTest.mResultsMap; BttF says it's a child of streams.ImageStreamGangTest THEN it also is fprivate of PLUGIN   ,,private static ,,PLUGIN,PLUGIN,null,6,2,false
streams.ImageStreamGangTest.main(String[] args),4,Method,streams,ImageStreamGangTest,main(String[] args),PLUGIN,TRUE,TRUE,,TRUE,FALSE,streams.ImageStreamGangTest.main(String[] args); BttF says it's a child of streams.ImageStreamGangTest THEN it also is fprivate of PLUGIN   ,,public static ,main(String[]),PLUGIN,PLUGIN,null,15,2,false
streams.ImageStreamGangTest.runTests(),4,Method,streams,ImageStreamGangTest,runTests(),PLUGIN,FALSE,TRUE,,TRUE,FALSE,streams.ImageStreamGangTest.runTests(); BttF says since it calls fprivate streams.ImageStreamGangTest.mFilters THEN it also belongs to PLUGIN   ,,private static ,runTests(),PLUGIN,PLUGIN,null,39,2,false
streams.ImageStreamGangTest.deleteFilteredImages(),4,Method,streams,ImageStreamGangTest,deleteFilteredImages(),PLUGIN,FALSE,TRUE,,TRUE,FALSE,streams.ImageStreamGangTest.deleteFilteredImages(); BttF says since it calls fprivate streams.ImageStreamGangTest.mFilters THEN it also belongs to PLUGIN   ,,private static ,deleteFilteredImages(),PLUGIN,PLUGIN,null,15,2,false
streams.ImageStreamGangTest.makeImageStreamGang(Filter[] filters; Iterator<List<URL>> urlIterator; TestsToRun choice),4,Method,streams,ImageStreamGangTest,makeImageStreamGang(Filter[] filters; Iterator<List<URL>> urlIterator; TestsToRun choice),PLUGIN,FALSE,TRUE,,TRUE,FALSE,streams.ImageStreamGangTest.makeImageStreamGang(Filter[] filters; Iterator<List<URL>> urlIterator; TestsToRun choice); BttF says since it calls fprivate streams.ImageStreamCompletableFuture1 THEN it also belongs to PLUGIN   ,,private static ,makeImageStreamGang(Filter[]; Iterator<List<URL>>; TestsToRun),FRAMEWORK,PLUGIN,null,23,2,false
streams.ImageStreamGangTest.printTimingResults(Map<String; List<Long>> resultsMap),4,Method,streams,ImageStreamGangTest,printTimingResults(Map<String; List<Long>> resultsMap),PLUGIN,TRUE,TRUE,,TRUE,FALSE,streams.ImageStreamGangTest.printTimingResults(Map<String; List<Long>> resultsMap); BttF says it's a child of streams.ImageStreamGangTest THEN it also is fprivate of PLUGIN   ,,private static ,printTimingResults(Map<String;List<Long>>),PLUGIN,PLUGIN,null,112,2,false
streams.ImageStreamSequential,2,Class,streams,ImageStreamSequential,,PLUGIN,TRUE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,13,2,false
streams.ImageStreamParallel,2,Class,streams,ImageStreamParallel,,PLUGIN,TRUE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,16,2,false
streams.ImageStreamGangTest.deleteSubFolders(String path),4,Method,streams,ImageStreamGangTest,deleteSubFolders(String path),PLUGIN,TRUE,TRUE,,TRUE,FALSE,streams.ImageStreamGangTest.deleteSubFolders(String path); BttF says it's a child of streams.ImageStreamGangTest THEN it also is fprivate of PLUGIN   ,,private static ,deleteSubFolders(String),PLUGIN,PLUGIN,null,23,2,false
