Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences
mixin.FormParDecl,2,Class,mixin,FormParDecl,,syntax,TRUE,FALSE,,TRUE,FALSE,
mixin.FormParDecl.ARG_LENGTH,3,Field,mixin,FormParDecl,ARG_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.FormParDecl.TOK_LENGTH,3,Field,mixin,FormParDecl,TOK_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.FormParDecl.getAST_TypeName(),4,Method,mixin,FormParDecl,getAST_TypeName(),,FALSE,FALSE,,TRUE,FALSE,
mixin.FormParDecl.getVariableDeclaratorId(),4,Method,mixin,FormParDecl,getVariableDeclaratorId(),,FALSE,FALSE,,TRUE,FALSE,
mixin.VariableDeclaratorId,2,Class,mixin,VariableDeclaratorId,,syntax,TRUE,FALSE,,FALSE,FALSE,
mixin.FormParDecl.printorder(),4,Method,mixin,FormParDecl,printorder(),,FALSE,FALSE,,TRUE,FALSE,
mixin.FormParDecl.setParms(AstOptToken tok0; AST_TypeName arg0; VariableDeclaratorId arg1),4,Method,mixin,FormParDecl,setParms(AstOptToken tok0; AST_TypeName arg0; VariableDeclaratorId arg1),,FALSE,FALSE,,TRUE,FALSE,
mixin.ModFinal,2,Class,mixin,ModFinal,,syntax,TRUE,FALSE,,TRUE,FALSE,
mixin.ModFinal.ARG_LENGTH,3,Field,mixin,ModFinal,ARG_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.ModFinal.TOK_LENGTH,3,Field,mixin,ModFinal,TOK_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.ModFinal.getFINAL(),4,Method,mixin,ModFinal,getFINAL(),,FALSE,FALSE,,TRUE,FALSE,
mixin.ModFinal.printorder(),4,Method,mixin,ModFinal,printorder(),,FALSE,FALSE,,TRUE,FALSE,
mixin.ModFinal.setParms(AstToken tok0),4,Method,mixin,ModFinal,setParms(AstToken tok0),,FALSE,FALSE,,TRUE,FALSE,
mixin.NameIdEscape,2,Class,mixin,NameIdEscape,,syntax,TRUE,FALSE,,TRUE,FALSE,
mixin.NameIdEscape.ARG_LENGTH,3,Field,mixin,NameIdEscape,ARG_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.NameIdEscape.TOK_LENGTH,3,Field,mixin,NameIdEscape,TOK_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.NameIdEscape.getAST_Exp(),4,Method,mixin,NameIdEscape,getAST_Exp(),,FALSE,FALSE,,TRUE,FALSE,
mixin.NameIdEscape.getNAMEID_ESCAPE(),4,Method,mixin,NameIdEscape,getNAMEID_ESCAPE(),,FALSE,FALSE,,TRUE,FALSE,
mixin.NameIdEscape.printorder(),4,Method,mixin,NameIdEscape,printorder(),,FALSE,FALSE,,TRUE,FALSE,
mixin.NameIdEscape.setParms(AstToken tok0; AstToken tok1; AST_Exp arg0; AstToken tok2),4,Method,mixin,NameIdEscape,setParms(AstToken tok0; AstToken tok1; AST_Exp arg0; AstToken tok2),,FALSE,FALSE,,TRUE,FALSE,
mixin.AST_QualifiedNameC,2,Class,mixin,AST_QualifiedNameC,,syntax,TRUE,FALSE,,TRUE,FALSE,
mixin.AST_QualifiedNameC.ARG_LENGTH,3,Field,mixin,AST_QualifiedNameC,ARG_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.AST_QualifiedNameC.TOK_LENGTH,3,Field,mixin,AST_QualifiedNameC,TOK_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.AST_QualifiedNameC.getAST_QualifiedName(),4,Method,mixin,AST_QualifiedNameC,getAST_QualifiedName(),,FALSE,FALSE,,TRUE,FALSE,
mixin.AST_QualifiedNameC.getID_BEGIN(),4,Method,mixin,AST_QualifiedNameC,getID_BEGIN(),,FALSE,FALSE,,TRUE,FALSE,
mixin.AST_QualifiedNameC.getID_END(),4,Method,mixin,AST_QualifiedNameC,getID_END(),,FALSE,FALSE,,TRUE,FALSE,
mixin.AST_QualifiedNameC.printorder(),4,Method,mixin,AST_QualifiedNameC,printorder(),,FALSE,FALSE,,TRUE,FALSE,
mixin.AST_QualifiedNameC.setParms(AstToken tok0; AST_QualifiedName arg0; AstToken tok1),4,Method,mixin,AST_QualifiedNameC,setParms(AstToken tok0; AST_QualifiedName arg0; AstToken tok1),,FALSE,FALSE,,TRUE,FALSE,
mixin.AstVisitor,2,Class,mixin,AstVisitor,,kernel,TRUE,FALSE,,TRUE,FALSE,
mixin.AstVisitor.visit(AstList list),4,Method,mixin,AstVisitor,visit(AstList list),,FALSE,FALSE,,TRUE,FALSE,
mixin.AstVisitor.visit(AstNode node),4,Method,mixin,AstVisitor,visit(AstNode node),,FALSE,FALSE,,TRUE,FALSE,
mixin.AstVisitor.visit(AstOptNode node),4,Method,mixin,AstVisitor,visit(AstOptNode node),,FALSE,FALSE,,TRUE,FALSE,
mixin.SwEscape,2,Class,mixin,SwEscape,,syntax,TRUE,FALSE,,TRUE,FALSE,
mixin.SwEscape.ARG_LENGTH,3,Field,mixin,SwEscape,ARG_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.SwEscape.TOK_LENGTH,3,Field,mixin,SwEscape,TOK_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.SwEscape.getAST_Exp(),4,Method,mixin,SwEscape,getAST_Exp(),,FALSE,FALSE,,TRUE,FALSE,
